,minute,customer_id,location
0,1,0,spices
1,2,0,dairy
2,2,1,spices
3,2,2,spices
4,2,3,fruit
5,3,0,dairy
6,3,1,fruit
7,3,2,spices
8,3,3,fruit
9,3,4,drinks
10,3,5,fruit
11,4,0,dairy
12,4,1,fruit
13,4,2,spices
14,4,3,fruit
15,4,4,drinks
16,4,5,fruit
17,4,6,fruit
18,4,7,spices
19,4,8,drinks
20,5,0,dairy
21,5,1,fruit
22,5,2,spices
23,5,3,drinks
24,5,4,drinks
25,5,5,fruit
26,5,6,fruit
27,5,7,spices
28,5,8,drinks
29,5,9,spices
30,5,10,dairy
31,5,11,drinks
32,5,12,dairy
33,5,13,drinks
34,5,14,drinks
35,6,0,spices
36,6,1,fruit
37,6,2,spices
38,6,3,spices
39,6,4,drinks
40,6,5,fruit
41,6,6,checkout
42,6,7,drinks
43,6,8,drinks
44,6,9,checkout
45,6,10,dairy
46,6,11,spices
47,6,12,fruit
48,6,13,drinks
49,6,14,drinks
50,6,15,dairy
51,6,16,drinks
52,6,17,dairy
53,6,18,drinks
54,7,0,spices
55,7,1,fruit
56,7,2,spices
57,7,3,spices
58,7,4,drinks
59,7,5,dairy
60,7,6,checkout
61,7,7,dairy
62,7,8,dairy
63,7,9,checkout
64,7,10,dairy
65,7,11,checkout
66,7,12,fruit
67,7,13,drinks
68,7,14,checkout
69,7,15,checkout
70,7,16,spices
71,7,17,dairy
72,7,18,drinks
73,8,0,drinks
74,8,1,spices
75,8,2,checkout
76,8,3,spices
77,8,4,drinks
78,8,5,dairy
79,8,6,checkout
80,8,7,spices
81,8,8,dairy
82,8,9,checkout
83,8,10,dairy
84,8,11,checkout
85,8,12,fruit
86,8,13,dairy
87,8,14,checkout
88,8,15,checkout
89,8,16,dairy
90,8,17,dairy
91,8,18,drinks
92,8,19,dairy
93,8,20,fruit
94,8,21,fruit
95,8,22,spices
96,8,23,fruit
97,8,24,dairy
98,9,0,drinks
99,9,1,drinks
100,9,2,checkout
101,9,3,checkout
102,9,4,fruit
103,9,5,dairy
104,9,6,checkout
105,9,7,fruit
106,9,8,spices
107,9,9,checkout
108,9,10,dairy
109,9,11,checkout
110,9,12,checkout
111,9,13,dairy
112,9,14,checkout
113,9,15,checkout
114,9,16,dairy
115,9,17,dairy
116,9,18,checkout
117,9,19,dairy
118,9,20,fruit
119,9,21,fruit
120,9,22,drinks
121,9,23,fruit
122,9,24,dairy
123,9,25,drinks
124,9,26,spices
125,9,27,spices
126,9,28,drinks
127,9,29,fruit
128,10,0,drinks
129,10,1,drinks
130,10,2,checkout
131,10,3,checkout
132,10,4,drinks
133,10,5,dairy
134,10,6,checkout
135,10,7,fruit
136,10,8,spices
137,10,9,checkout
138,10,10,dairy
139,10,11,checkout
140,10,12,checkout
141,10,13,dairy
142,10,14,checkout
143,10,15,checkout
144,10,16,dairy
145,10,17,spices
146,10,18,checkout
147,10,19,fruit
148,10,20,fruit
149,10,21,fruit
150,10,22,drinks
151,10,23,fruit
152,10,24,fruit
153,10,25,drinks
154,10,26,spices
155,10,27,drinks
156,10,28,drinks
157,10,29,checkout
158,10,30,dairy
159,11,0,drinks
160,11,1,drinks
161,11,2,checkout
162,11,3,checkout
163,11,4,drinks
164,11,5,dairy
165,11,6,checkout
166,11,7,dairy
167,11,8,spices
168,11,9,checkout
169,11,10,dairy
170,11,11,checkout
171,11,12,checkout
172,11,13,fruit
173,11,14,checkout
174,11,15,checkout
175,11,16,spices
176,11,17,drinks
177,11,18,checkout
178,11,19,drinks
179,11,20,checkout
180,11,21,dairy
181,11,22,dairy
182,11,23,fruit
183,11,24,fruit
184,11,25,fruit
185,11,26,spices
186,11,27,spices
187,11,28,drinks
188,11,29,checkout
189,11,30,spices
190,11,31,drinks
191,11,32,dairy
192,11,33,drinks
193,11,34,drinks
194,11,35,spices
195,11,36,dairy
196,11,37,drinks
197,11,38,drinks
198,11,39,spices
199,12,0,drinks
200,12,1,drinks
201,12,2,checkout
202,12,3,checkout
203,12,4,checkout
204,12,5,dairy
205,12,6,checkout
206,12,7,dairy
207,12,8,spices
208,12,9,checkout
209,12,10,dairy
210,12,11,checkout
211,12,12,checkout
212,12,13,spices
213,12,14,checkout
214,12,15,checkout
215,12,16,drinks
216,12,17,drinks
217,12,18,checkout
218,12,19,drinks
219,12,20,checkout
220,12,21,dairy
221,12,22,dairy
222,12,23,checkout
223,12,24,fruit
224,12,25,fruit
225,12,26,fruit
226,12,27,dairy
227,12,28,drinks
228,12,29,checkout
229,12,30,dairy
230,12,31,checkout
231,12,32,dairy
232,12,33,drinks
233,12,34,drinks
234,12,35,spices
235,12,36,dairy
236,12,37,drinks
237,12,38,drinks
238,12,39,spices
239,12,40,dairy
240,12,41,spices
241,12,42,dairy
242,13,0,drinks
243,13,1,drinks
244,13,2,checkout
245,13,3,checkout
246,13,4,checkout
247,13,5,dairy
248,13,6,checkout
249,13,7,dairy
250,13,8,spices
251,13,9,checkout
252,13,10,dairy
253,13,11,checkout
254,13,12,checkout
255,13,13,spices
256,13,14,checkout
257,13,15,checkout
258,13,16,checkout
259,13,17,drinks
260,13,18,checkout
261,13,19,fruit
262,13,20,checkout
263,13,21,dairy
264,13,22,dairy
265,13,23,checkout
266,13,24,dairy
267,13,25,fruit
268,13,26,checkout
269,13,27,dairy
270,13,28,drinks
271,13,29,checkout
272,13,30,dairy
273,13,31,checkout
274,13,32,checkout
275,13,33,drinks
276,13,34,drinks
277,13,35,dairy
278,13,36,dairy
279,13,37,drinks
280,13,38,dairy
281,13,39,spices
282,13,40,dairy
283,13,41,fruit
284,13,42,dairy
285,13,43,fruit
286,13,44,dairy
287,13,45,dairy
288,13,46,drinks
289,13,47,drinks
290,14,0,drinks
291,14,1,checkout
292,14,2,checkout
293,14,3,checkout
294,14,4,checkout
295,14,5,dairy
296,14,6,checkout
297,14,7,dairy
298,14,8,spices
299,14,9,checkout
300,14,10,dairy
301,14,11,checkout
302,14,12,checkout
303,14,13,fruit
304,14,14,checkout
305,14,15,checkout
306,14,16,checkout
307,14,17,checkout
308,14,18,checkout
309,14,19,spices
310,14,20,checkout
311,14,21,dairy
312,14,22,dairy
313,14,23,checkout
314,14,24,dairy
315,14,25,checkout
316,14,26,checkout
317,14,27,dairy
318,14,28,drinks
319,14,29,checkout
320,14,30,checkout
321,14,31,checkout
322,14,32,checkout
323,14,33,drinks
324,14,34,drinks
325,14,35,checkout
326,14,36,dairy
327,14,37,drinks
328,14,38,fruit
329,14,39,checkout
330,14,40,dairy
331,14,41,checkout
332,14,42,spices
333,14,43,dairy
334,14,44,dairy
335,14,45,dairy
336,14,46,dairy
337,14,47,drinks
338,14,48,drinks
339,15,0,spices
340,15,1,checkout
341,15,2,checkout
342,15,3,checkout
343,15,4,checkout
344,15,5,dairy
345,15,6,checkout
346,15,7,dairy
347,15,8,fruit
348,15,9,checkout
349,15,10,dairy
350,15,11,checkout
351,15,12,checkout
352,15,13,fruit
353,15,14,checkout
354,15,15,checkout
355,15,16,checkout
356,15,17,checkout
357,15,18,checkout
358,15,19,dairy
359,15,20,checkout
360,15,21,dairy
361,15,22,checkout
362,15,23,checkout
363,15,24,dairy
364,15,25,checkout
365,15,26,checkout
366,15,27,fruit
367,15,28,dairy
368,15,29,checkout
369,15,30,checkout
370,15,31,checkout
371,15,32,checkout
372,15,33,spices
373,15,34,drinks
374,15,35,checkout
375,15,36,dairy
376,15,37,spices
377,15,38,checkout
378,15,39,checkout
379,15,40,checkout
380,15,41,checkout
381,15,42,spices
382,15,43,dairy
383,15,44,dairy
384,15,45,dairy
385,15,46,dairy
386,15,47,checkout
387,15,48,fruit
388,15,49,dairy
389,15,50,dairy
390,15,51,drinks
391,16,0,spices
392,16,1,checkout
393,16,2,checkout
394,16,3,checkout
395,16,4,checkout
396,16,5,dairy
397,16,6,checkout
398,16,7,dairy
399,16,8,fruit
400,16,9,checkout
401,16,10,dairy
402,16,11,checkout
403,16,12,checkout
404,16,13,fruit
405,16,14,checkout
406,16,15,checkout
407,16,16,checkout
408,16,17,checkout
409,16,18,checkout
410,16,19,dairy
411,16,20,checkout
412,16,21,dairy
413,16,22,checkout
414,16,23,checkout
415,16,24,dairy
416,16,25,checkout
417,16,26,checkout
418,16,27,checkout
419,16,28,dairy
420,16,29,checkout
421,16,30,checkout
422,16,31,checkout
423,16,32,checkout
424,16,33,fruit
425,16,34,drinks
426,16,35,checkout
427,16,36,dairy
428,16,37,spices
429,16,38,checkout
430,16,39,checkout
431,16,40,checkout
432,16,41,checkout
433,16,42,dairy
434,16,43,checkout
435,16,44,dairy
436,16,45,dairy
437,16,46,fruit
438,16,47,checkout
439,16,48,fruit
440,16,49,drinks
441,16,50,dairy
442,16,51,spices
443,16,52,dairy
444,16,53,fruit
445,17,0,fruit
446,17,1,checkout
447,17,2,checkout
448,17,3,checkout
449,17,4,checkout
450,17,5,dairy
451,17,6,checkout
452,17,7,checkout
453,17,8,checkout
454,17,9,checkout
455,17,10,dairy
456,17,11,checkout
457,17,12,checkout
458,17,13,spices
459,17,14,checkout
460,17,15,checkout
461,17,16,checkout
462,17,17,checkout
463,17,18,checkout
464,17,19,checkout
465,17,20,checkout
466,17,21,checkout
467,17,22,checkout
468,17,23,checkout
469,17,24,dairy
470,17,25,checkout
471,17,26,checkout
472,17,27,checkout
473,17,28,dairy
474,17,29,checkout
475,17,30,checkout
476,17,31,checkout
477,17,32,checkout
478,17,33,fruit
479,17,34,checkout
480,17,35,checkout
481,17,36,fruit
482,17,37,fruit
483,17,38,checkout
484,17,39,checkout
485,17,40,checkout
486,17,41,checkout
487,17,42,fruit
488,17,43,checkout
489,17,44,checkout
490,17,45,dairy
491,17,46,fruit
492,17,47,checkout
493,17,48,fruit
494,17,49,drinks
495,17,50,spices
496,17,51,spices
497,17,52,dairy
498,17,53,fruit
499,17,54,dairy
500,17,55,drinks
501,17,56,drinks
502,17,57,fruit
503,17,58,fruit
504,17,59,drinks
505,18,0,checkout
506,18,1,checkout
507,18,2,checkout
508,18,3,checkout
509,18,4,checkout
510,18,5,dairy
511,18,6,checkout
512,18,7,checkout
513,18,8,checkout
514,18,9,checkout
515,18,10,dairy
516,18,11,checkout
517,18,12,checkout
518,18,13,dairy
519,18,14,checkout
520,18,15,checkout
521,18,16,checkout
522,18,17,checkout
523,18,18,checkout
524,18,19,checkout
525,18,20,checkout
526,18,21,checkout
527,18,22,checkout
528,18,23,checkout
529,18,24,dairy
530,18,25,checkout
531,18,26,checkout
532,18,27,checkout
533,18,28,dairy
534,18,29,checkout
535,18,30,checkout
536,18,31,checkout
537,18,32,checkout
538,18,33,checkout
539,18,34,checkout
540,18,35,checkout
541,18,36,spices
542,18,37,fruit
543,18,38,checkout
544,18,39,checkout
545,18,40,checkout
546,18,41,checkout
547,18,42,fruit
548,18,43,checkout
549,18,44,checkout
550,18,45,dairy
551,18,46,fruit
552,18,47,checkout
553,18,48,fruit
554,18,49,drinks
555,18,50,checkout
556,18,51,checkout
557,18,52,dairy
558,18,53,fruit
559,18,54,dairy
560,18,55,drinks
561,18,56,drinks
562,18,57,checkout
563,18,58,fruit
564,18,59,spices
565,18,60,fruit
566,18,61,spices
567,19,0,checkout
568,19,1,checkout
569,19,2,checkout
570,19,3,checkout
571,19,4,checkout
572,19,5,checkout
573,19,6,checkout
574,19,7,checkout
575,19,8,checkout
576,19,9,checkout
577,19,10,dairy
578,19,11,checkout
579,19,12,checkout
580,19,13,dairy
581,19,14,checkout
582,19,15,checkout
583,19,16,checkout
584,19,17,checkout
585,19,18,checkout
586,19,19,checkout
587,19,20,checkout
588,19,21,checkout
589,19,22,checkout
590,19,23,checkout
591,19,24,fruit
592,19,25,checkout
593,19,26,checkout
594,19,27,checkout
595,19,28,dairy
596,19,29,checkout
597,19,30,checkout
598,19,31,checkout
599,19,32,checkout
600,19,33,checkout
601,19,34,checkout
602,19,35,checkout
603,19,36,dairy
604,19,37,fruit
605,19,38,checkout
606,19,39,checkout
607,19,40,checkout
608,19,41,checkout
609,19,42,fruit
610,19,43,checkout
611,19,44,checkout
612,19,45,dairy
613,19,46,checkout
614,19,47,checkout
615,19,48,fruit
616,19,49,checkout
617,19,50,checkout
618,19,51,checkout
619,19,52,dairy
620,19,53,spices
621,19,54,dairy
622,19,55,drinks
623,19,56,fruit
624,19,57,checkout
625,19,58,fruit
626,19,59,checkout
627,19,60,fruit
628,19,61,fruit
629,19,62,dairy
630,19,63,fruit
631,19,64,drinks
632,19,65,fruit
633,19,66,drinks
