,minute,customer_id,location
0,0,0,dairy
1,0,1,checkout
2,0,2,fruit
3,0,3,drinks
4,0,4,checkout
5,0,5,spices
6,0,6,fruit
7,1,0,fruit
8,1,1,checkout
9,1,2,fruit
10,1,3,drinks
11,1,4,checkout
12,1,5,checkout
13,1,6,checkout
14,1,7,drinks
15,1,8,fruit
16,1,9,drinks
17,2,0,drinks
18,2,1,checkout
19,2,2,dairy
20,2,3,spices
21,2,4,checkout
22,2,5,checkout
23,2,6,checkout
24,2,7,dairy
25,2,8,fruit
26,2,9,checkout
27,3,0,fruit
28,3,1,checkout
29,3,2,drinks
30,3,3,drinks
31,3,4,checkout
32,3,5,checkout
33,3,6,checkout
34,3,7,checkout
35,3,8,spices
36,3,9,checkout
37,3,10,dairy
38,3,11,spices
39,3,12,spices
40,3,13,dairy
41,3,14,checkout
42,3,15,checkout
43,3,16,drinks
44,4,0,dairy
45,4,1,checkout
46,4,2,dairy
47,4,3,drinks
48,4,4,checkout
49,4,5,checkout
50,4,6,checkout
51,4,7,checkout
52,4,8,checkout
53,4,9,checkout
54,4,10,drinks
55,4,11,fruit
56,4,12,checkout
57,4,13,dairy
58,4,14,checkout
59,4,15,checkout
60,4,16,drinks
61,4,17,spices
62,5,0,checkout
63,5,1,checkout
64,5,2,checkout
65,5,3,drinks
66,5,4,checkout
67,5,5,checkout
68,5,6,checkout
69,5,7,checkout
70,5,8,checkout
71,5,9,checkout
72,5,10,dairy
73,5,11,checkout
74,5,12,checkout
75,5,13,checkout
76,5,14,checkout
77,5,15,checkout
78,5,16,spices
79,5,17,dairy
80,5,18,dairy
81,5,19,fruit
82,6,0,checkout
83,6,1,checkout
84,6,2,checkout
85,6,3,dairy
86,6,4,checkout
87,6,5,checkout
88,6,6,checkout
89,6,7,checkout
90,6,8,checkout
91,6,9,checkout
92,6,10,dairy
93,6,11,checkout
94,6,12,checkout
95,6,13,checkout
96,6,14,checkout
97,6,15,checkout
98,6,16,dairy
99,6,17,drinks
100,6,18,dairy
101,6,19,checkout
102,6,20,fruit
103,7,0,checkout
104,7,1,checkout
105,7,2,checkout
106,7,3,checkout
107,7,4,checkout
108,7,5,checkout
109,7,6,checkout
110,7,7,checkout
111,7,8,checkout
112,7,9,checkout
113,7,10,checkout
114,7,11,checkout
115,7,12,checkout
116,7,13,checkout
117,7,14,checkout
118,7,15,checkout
119,7,16,fruit
120,7,17,fruit
121,7,18,checkout
122,7,19,checkout
123,7,20,drinks
124,7,21,spices
125,7,22,checkout
126,8,0,checkout
127,8,1,checkout
128,8,2,checkout
129,8,3,checkout
130,8,4,checkout
131,8,5,checkout
132,8,6,checkout
133,8,7,checkout
134,8,8,checkout
135,8,9,checkout
136,8,10,checkout
137,8,11,checkout
138,8,12,checkout
139,8,13,checkout
140,8,14,checkout
141,8,15,checkout
142,8,16,spices
143,8,17,fruit
144,8,18,checkout
145,8,19,checkout
146,8,20,checkout
147,8,21,dairy
148,8,22,checkout
149,8,23,fruit
150,9,0,checkout
151,9,1,checkout
152,9,2,checkout
153,9,3,checkout
154,9,4,checkout
155,9,5,checkout
156,9,6,checkout
157,9,7,checkout
158,9,8,checkout
159,9,9,checkout
160,9,10,checkout
161,9,11,checkout
162,9,12,checkout
163,9,13,checkout
164,9,14,checkout
165,9,15,checkout
166,9,16,spices
167,9,17,fruit
168,9,18,checkout
169,9,19,checkout
170,9,20,checkout
171,9,21,dairy
172,9,22,checkout
173,9,23,drinks
174,9,24,checkout
175,9,25,drinks
176,9,26,checkout
177,9,27,spices
178,9,28,checkout
179,9,29,checkout
180,9,30,fruit
181,10,0,checkout
182,10,1,checkout
183,10,2,checkout
184,10,3,checkout
185,10,4,checkout
186,10,5,checkout
187,10,6,checkout
188,10,7,checkout
189,10,8,checkout
190,10,9,checkout
191,10,10,checkout
192,10,11,checkout
193,10,12,checkout
194,10,13,checkout
195,10,14,checkout
196,10,15,checkout
197,10,16,dairy
198,10,17,checkout
199,10,18,checkout
200,10,19,checkout
201,10,20,checkout
202,10,21,fruit
203,10,22,checkout
204,10,23,drinks
205,10,24,checkout
206,10,25,checkout
207,10,26,checkout
208,10,27,checkout
209,10,28,checkout
210,10,29,checkout
211,10,30,fruit
212,10,31,drinks
213,10,32,fruit
214,10,33,spices
215,10,34,dairy
216,10,35,checkout
217,11,0,checkout
218,11,1,checkout
219,11,2,checkout
220,11,3,checkout
221,11,4,checkout
222,11,5,checkout
223,11,6,checkout
224,11,7,checkout
225,11,8,checkout
226,11,9,checkout
227,11,10,checkout
228,11,11,checkout
229,11,12,checkout
230,11,13,checkout
231,11,14,checkout
232,11,15,checkout
233,11,16,drinks
234,11,17,checkout
235,11,18,checkout
236,11,19,checkout
237,11,20,checkout
238,11,21,drinks
239,11,22,checkout
240,11,23,checkout
241,11,24,checkout
242,11,25,checkout
243,11,26,checkout
244,11,27,checkout
245,11,28,checkout
246,11,29,checkout
247,11,30,checkout
248,11,31,checkout
249,11,32,spices
250,11,33,fruit
251,11,34,checkout
252,11,35,checkout
253,11,36,spices
254,11,37,checkout
255,11,38,drinks
256,11,39,drinks
257,11,40,fruit
258,11,41,checkout
259,11,42,fruit
260,11,43,checkout
261,11,44,checkout
262,12,0,checkout
263,12,1,checkout
264,12,2,checkout
265,12,3,checkout
266,12,4,checkout
267,12,5,checkout
268,12,6,checkout
269,12,7,checkout
270,12,8,checkout
271,12,9,checkout
272,12,10,checkout
273,12,11,checkout
274,12,12,checkout
275,12,13,checkout
276,12,14,checkout
277,12,15,checkout
278,12,16,fruit
279,12,17,checkout
280,12,18,checkout
281,12,19,checkout
282,12,20,checkout
283,12,21,dairy
284,12,22,checkout
285,12,23,checkout
286,12,24,checkout
287,12,25,checkout
288,12,26,checkout
289,12,27,checkout
290,12,28,checkout
291,12,29,checkout
292,12,30,checkout
293,12,31,checkout
294,12,32,checkout
295,12,33,fruit
296,12,34,checkout
297,12,35,checkout
298,12,36,fruit
299,12,37,checkout
300,12,38,fruit
301,12,39,checkout
302,12,40,fruit
303,12,41,checkout
304,12,42,checkout
305,12,43,checkout
306,12,44,checkout
307,13,0,checkout
308,13,1,checkout
309,13,2,checkout
310,13,3,checkout
311,13,4,checkout
312,13,5,checkout
313,13,6,checkout
314,13,7,checkout
315,13,8,checkout
316,13,9,checkout
317,13,10,checkout
318,13,11,checkout
319,13,12,checkout
320,13,13,checkout
321,13,14,checkout
322,13,15,checkout
323,13,16,checkout
324,13,17,checkout
325,13,18,checkout
326,13,19,checkout
327,13,20,checkout
328,13,21,dairy
329,13,22,checkout
330,13,23,checkout
331,13,24,checkout
332,13,25,checkout
333,13,26,checkout
334,13,27,checkout
335,13,28,checkout
336,13,29,checkout
337,13,30,checkout
338,13,31,checkout
339,13,32,checkout
340,13,33,fruit
341,13,34,checkout
342,13,35,checkout
343,13,36,fruit
344,13,37,checkout
345,13,38,spices
346,13,39,checkout
347,13,40,checkout
348,13,41,checkout
349,13,42,checkout
350,13,43,checkout
351,13,44,checkout
352,13,45,fruit
353,13,46,checkout
354,14,0,checkout
355,14,1,checkout
356,14,2,checkout
357,14,3,checkout
358,14,4,checkout
359,14,5,checkout
360,14,6,checkout
361,14,7,checkout
362,14,8,checkout
363,14,9,checkout
364,14,10,checkout
365,14,11,checkout
366,14,12,checkout
367,14,13,checkout
368,14,14,checkout
369,14,15,checkout
370,14,16,checkout
371,14,17,checkout
372,14,18,checkout
373,14,19,checkout
374,14,20,checkout
375,14,21,fruit
376,14,22,checkout
377,14,23,checkout
378,14,24,checkout
379,14,25,checkout
380,14,26,checkout
